C-H;Similarity;Neighbor penalty;PLS-PF penalty;Barrier;Weight [%]
3.0;0.84;46.17;13.47;161.81;0.0
12.0;0.87;4.36;4.23;124.33;78.17
13.0;0.78;28.24;0.71;146.55;0.01
15.0;0.84;26.2;6.58;143.58;0.03
16.0;0.88;0.0;7.62;127.62;20.71
17.0;0.92;19.97;9.11;134.96;1.08
