C-H;Similarity;Neighbor penalty;PLS-PF penalty;Barrier;Weight [%]
3.0;0.81;40.0;6.06;156.94;0.46
12.0;0.69;60.35;12.5;179.69;0.0
19.0;0.7;45.73;16.18;165.24;0.02
20.0;0.84;25.34;13.52;143.6;99.52
26.0;0.8;70.31;6.11;185.54;0.0
