C-H;Similarity;Neighbor penalty;PLS-PF penalty;Barrier;Weight [%]
5.0;0.84;14.77;8.96;134.0;1.14
6.0;0.84;4.0;5.19;124.18;59.85
11.0;0.8;39.89;8.11;157.29;0.0
12.0;0.86;5.95;10.96;126.85;20.35
15.0;0.88;5.95;10.17;127.07;18.66
16.0;0.88;39.89;7.4;151.31;0.0
