C-H;Similarity;Neighbor penalty;PLS-PF penalty;Barrier;Weight [%]
4.0;0.84;32.57;9.24;149.13;0.0
5.0;0.86;25.61;6.85;141.91;0.05
12.0;0.82;57.25;8.14;171.86;0.0
14.0;0.86;14.6;13.28;134.37;0.95
15.0;0.92;0.0;5.84;125.84;29.61
16.0;0.91;0.0;3.73;123.73;69.4
