C-H;Similarity;Neighbor penalty;PLS-PF penalty;Barrier;Weight [%]
14.0;0.8;57.52;10.68;173.69;0.0
15.0;0.84;0.0;8.55;128.55;99.89
20.0;0.84;68.15;6.96;179.14;0.0
21.0;0.81;29.63;10.89;147.94;0.04
28.0;0.86;29.63;13.23;146.39;0.07
29.0;0.84;68.15;6.96;179.14;0.0
